input_size,n_blocks_season,n_blocks_trend,n_blocks_identity,mlp_units,num_hidden,n_harmonics,n_polynomials,scaler_type,learning_rate,MAE,RMSE,MAPE,Loss Fn
14,1,1,2,32,2,4,1,robust,0.017889328081622215,0.4501815535515491,0.4760658799012592,1.0,Poisson
13,2,1,2,128,2,3,3,standard,2.193629220462842e-05,3.4944973616187407,6.365154235534508,8.761490581215531,Poisson
37,3,1,3,32,2,1,5,robust,0.018913798152187706,0.4501815535515491,0.4760658799012592,1.0,Poisson
41,1,1,3,128,2,2,3,standard,0.010869661655124875,0.1924861325024658,0.22516783041015156,0.5884072324797445,Poisson
11,2,3,3,128,1,5,5,robust,0.008376273523114031,0.4501815535515491,0.4760658799012592,1.0,Poisson
57,2,3,2,128,1,2,4,standard,0.00010132546515508164,0.29746777470518215,0.4014725925226588,0.7910659163805217,Poisson
42,2,1,1,128,1,3,1,robust,0.001824149720894009,0.4501815535515491,0.4760658799012592,1.0,Poisson
40,2,1,2,64,1,2,4,standard,0.00019381200220926908,0.311601892187989,0.41765940132593127,0.826110431108987,Poisson
51,3,1,3,128,3,5,4,robust,0.04962206283635456,0.4501815535515491,0.4760658799012592,1.0,Poisson
8,1,3,1,32,1,2,2,standard,0.0009305228917170127,11.884299590289382,23.36993249412475,29.197887300222956,Poisson
30,1,2,3,64,3,1,2,standard,0.0025994346317428692,0.16364257590918285,0.19004213718181737,0.4444224605264497,Poisson
25,1,2,3,64,3,1,2,standard,0.002224257160528092,0.17544220519337095,0.20846345242597702,0.3808367794517259,Poisson
25,1,2,3,64,3,1,2,standard,0.00149099922919868,0.11894433628558,0.15112643350656577,0.2664120089907073,Poisson
24,1,2,3,64,3,1,2,standard,0.0005226263787459641,0.1260097574635421,0.15962422706517126,0.28167020170326706,Poisson
22,1,2,3,64,3,1,2,standard,0.000337301575010809,0.2597950655401573,0.29926912238324993,0.5520454187913424,Poisson
21,1,2,2,64,3,1,1,standard,3.185176186025551e-05,0.26946699296062276,0.34727419303406626,0.7534354916972283,Poisson
2,1,2,3,64,3,4,3,standard,0.000729090326317037,0.42136192226409763,0.4499653844882383,1.1967781940412752,Poisson
30,3,2,1,64,3,2,2,standard,8.158023940069156e-05,0.2979783896313765,0.3972524129999455,0.8060027192650168,Poisson
20,1,3,2,64,2,3,3,standard,0.005006618323467817,0.4501815535515491,0.4760658799012592,1.0,Poisson
34,2,2,3,64,3,1,1,standard,0.00036773233864650695,0.1857976707735324,0.21922067932034534,0.5540605155143169,Poisson
28,1,2,3,64,3,3,2,standard,5.937020384505581e-05,0.2505292184841468,0.3288678618271784,0.6748235309050962,Poisson
32,1,2,3,64,3,1,2,standard,0.0026877854679544814,0.111891868129679,0.134153124994126,0.3218837368132075,Poisson
18,1,2,3,64,3,1,2,standard,0.0005762897965083185,0.24604785049887382,0.29392319772891023,0.5449803570333781,Poisson
48,1,2,3,64,2,2,1,standard,0.0014860896042713397,0.14765052867736203,0.17599527588697497,0.4358982164208101,Poisson
34,1,3,2,64,3,1,2,standard,0.0040659677087299005,0.1755856803611616,0.20242044336732135,0.5224549618727492,Poisson
26,2,2,3,32,3,2,3,standard,0.0611962101906214,0.4501815535515491,0.4760658799012592,1.0,Poisson
33,1,2,3,64,2,1,2,robust,0.00018688944617472554,0.35269184215662985,0.38748471104177773,0.7610349393614012,Poisson
16,1,3,2,64,3,1,1,standard,0.0011436151262790416,0.42947741647980564,0.456476828590693,0.9520114877616039,Poisson
24,2,2,3,64,3,2,3,standard,0.003849451790579958,0.31020350911846084,0.3557999623380344,0.8986807856995337,Poisson
47,1,2,2,32,2,4,1,robust,0.0184381058316038,0.4501815535515491,0.4760658799012592,1.0,Poisson
